,PRCP,TAVG,TMAX,TMIN,STATE,YEAR,MONTH,CROP
0,1.04,16.5,26.9,6.1,ID,2013,January,barley
1,0.69,22.9,31.9,14.0,ID,2013,February,barley
2,1.54,32.1,42.5,21.7,ID,2013,March,barley
3,1.52,38.2,49.5,27.0,ID,2013,April,barley
4,1.25,49.9,63.2,36.6,ID,2013,May,barley
5,0.17,59.2,76.1,42.3,ID,2013,June,barley
6,0.34,68.6,85.2,52.0,ID,2013,July,barley
7,0.37,67.2,83.9,50.4,ID,2013,August,barley
8,4.04,57.3,68.9,45.6,ID,2013,September,barley
9,0.94,40.4,52.9,27.9,ID,2013,October,barley
10,1.07,33.6,43.7,23.5,ID,2013,November,barley
11,0.48,19.3,29.7,8.8,ID,2013,December,barley
12,2.01,24.4,33.9,14.9,ID,2014,January,barley
13,3.18,26.7,35.4,18.0,ID,2014,February,barley
14,2.6,35.9,46.2,25.5,ID,2014,March,barley
15,1.67,40.8,53.6,28.0,ID,2014,April,barley
16,0.42,50.9,65.6,36.3,ID,2014,May,barley
17,0.45,56.6,72.3,40.9,ID,2014,June,barley
18,0.21,68.5,84.7,52.3,ID,2014,July,barley
19,3.73,62.8,76.7,48.9,ID,2014,August,barley
20,2.63,57.3,72.7,42.0,ID,2014,September,barley
21,0.23,48.9,64.1,33.6,ID,2014,October,barley
22,2.18,31.7,42.6,20.8,ID,2014,November,barley
23,1.8,28.1,35.9,20.3,ID,2014,December,barley
24,0.58,26.2,33.7,18.8,ID,2015,January,barley
25,1.31,33.6,42.4,24.9,ID,2015,February,barley
26,0.25,42.2,54.3,30.1,ID,2015,March,barley
27,1.32,42.9,53.9,31.9,ID,2015,April,barley
28,6.21,50.0,61.0,39.0,ID,2015,May,barley
29,0.76,63.8,80.0,47.5,ID,2015,June,barley
30,2.28,64.0,78.6,49.4,ID,2015,July,barley
31,1.14,64.7,80.9,48.6,ID,2015,August,barley
32,1.3,58.9,74.6,43.2,ID,2015,September,barley
33,2.14,50.6,63.4,37.8,ID,2015,October,barley
34,2.03,28.3,38.7,17.9,ID,2015,November,barley
35,2.13,21.4,30.3,12.4,ID,2015,December,barley
36,2.3,23.6,31.6,15.7,ID,2016,January,barley
37,0.12,28.2,38.5,17.9,ID,2016,February,barley
38,2.04,34.7,43.9,25.5,ID,2016,March,barley
39,1.56,43.6,55.9,31.4,ID,2016,April,barley
40,2.93,48.7,61.3,36.1,ID,2016,May,barley
41,0.33,61.3,77.1,45.5,ID,2016,June,barley
42,0.3,65.1,81.1,49.1,ID,2016,July,barley
43,0.25,62.6,79.7,45.6,ID,2016,August,barley
44,2.98,53.2,66.6,39.8,ID,2016,September,barley
45,4.81,45.6,56.1,35.1,ID,2016,October,barley
46,0.75,37.7,48.5,27.0,ID,2016,November,barley
47,2.67,16.5,26.3,6.7,ID,2016,December,barley
48,2.95,15.5,25.0,6.1,ID,2017,January,barley
49,3.08,28.6,35.6,21.5,ID,2017,February,barley
50,0.8,38.5,47.2,29.8,ID,2017,March,barley
51,4.46,38.9,48.9,29.0,ID,2017,April,barley
52,0.82,49.2,63.0,35.4,ID,2017,May,barley
53,1.68,58.0,72.7,43.4,ID,2017,June,barley
54,0.39,68.9,84.7,53.1,ID,2017,July,barley
55,0.21,64.2,80.0,48.4,ID,2017,August,barley
56,3.0,53.2,66.5,39.9,ID,2017,September,barley
57,0.67,39.6,52.4,26.7,ID,2017,October,barley
58,2.32,35.0,44.3,25.7,ID,2017,November,barley
59,0.76,21.9,31.7,12.2,ID,2017,December,barley
60,1.24,27.1,36.1,18.1,ID,2018,January,barley
61,1.02,24.8,32.9,16.7,ID,2018,February,barley
62,2.34,31.2,40.4,22.0,ID,2018,March,barley
63,2.4,42.2,54.7,29.7,ID,2018,April,barley
64,3.85,52.5,66.5,38.6,ID,2018,May,barley
65,0.02,69.1,85.3,53.0,ID,2018,July,barley
66,0.99,64.7,80.7,48.7,ID,2018,August,barley
67,0.17,57.3,74.0,40.6,ID,2018,September,barley
68,0.86,42.7,54.8,30.6,ID,2018,October,barley
69,1.65,29.8,40.7,18.9,ID,2018,November,barley
70,1.24,21.2,29.8,12.6,ID,2018,December,barley
71,1.39,22.4,31.9,12.8,ID,2019,January,barley
72,3.71,21.2,29.7,12.6,ID,2019,February,barley
73,0.86,28.7,39.8,17.5,ID,2019,March,barley
74,2.53,42.0,51.8,32.3,ID,2019,April,barley
75,3.51,49.1,60.7,37.5,ID,2019,May,barley
76,1.1,57.3,72.5,42.0,ID,2019,June,barley
77,0.83,67.7,83.1,52.3,ID,2019,July,barley
78,0.59,66.5,83.5,49.6,ID,2019,August,barley
