,PRCP,TAVG,TMAX,TMIN,STATE,YEAR,MONTH,CROP
0,0.09,18.4,28.2,8.5,IA,2013,January,corn
1,0.07,21.4,30.6,12.2,IA,2013,February,corn
2,1.98,26.2,34.4,18.0,IA,2013,March,corn
3,6.16,41.3,51.2,31.3,IA,2013,April,corn
4,7.13,57.0,67.2,46.9,IA,2013,May,corn
5,5.24,67.0,76.0,58.0,IA,2013,June,corn
6,0.5,71.5,81.6,61.4,IA,2013,July,corn
7,1.01,70.6,81.9,59.3,IA,2013,August,corn
8,1.8,65.4,77.6,53.1,IA,2013,September,corn
9,3.21,48.7,59.8,37.6,IA,2013,October,corn
10,,32.0,42.6,21.4,IA,2013,November,corn
11,,,,,IA,2013,December,corn
12,0.0,12.4,24.2,0.6,IA,2014,January,corn
13,,10.9,22.0,-0.1,IA,2014,February,corn
14,1.05,26.4,35.9,16.9,IA,2014,March,corn
15,4.65,45.5,58.0,33.0,IA,2014,April,corn
16,4.16,58.6,70.2,47.1,IA,2014,May,corn
17,8.16,68.7,78.3,59.2,IA,2014,June,corn
18,2.45,67.4,76.8,57.9,IA,2014,July,corn
19,5.31,69.9,77.8,61.9,IA,2014,August,corn
20,4.84,60.2,70.4,49.9,IA,2014,September,corn
21,2.2,49.7,61.6,37.9,IA,2014,October,corn
22,0.87,27.8,38.8,16.7,IA,2014,November,corn
23,1.59,26.3,31.9,20.7,IA,2014,December,corn
24,0.82,19.3,27.9,10.7,IA,2015,January,corn
25,1.51,12.1,21.9,2.3,IA,2015,February,corn
26,0.01,36.0,49.2,22.7,IA,2015,March,corn
27,7.46,49.4,61.5,37.3,IA,2015,April,corn
28,6.06,57.5,67.5,47.6,IA,2015,May,corn
29,4.35,68.1,77.3,58.9,IA,2015,June,corn
30,4.3,70.3,79.6,61.0,IA,2015,July,corn
31,9.6,67.0,76.1,57.9,IA,2015,August,corn
32,0.9,66.4,77.2,55.6,IA,2015,September,corn
33,1.35,51.5,63.6,39.4,IA,2015,October,corn
34,3.81,40.0,49.0,31.0,IA,2015,November,corn
35,5.61,,,,IA,2015,December,corn
36,0.55,16.7,24.0,9.4,IA,2016,January,corn
37,,25.5,33.0,18.0,IA,2016,February,corn
