,PRCP,TAVG,TMAX,TMIN,STATE,YEAR,MONTH,CROP
0,0.59,8.2,18.7,-2.3,ND,2013,January,oats
1,1.17,13.1,23.2,3.0,ND,2013,February,oats
2,1.3,11.2,22.3,0.1,ND,2013,March,oats
3,0.48,26.9,36.9,16.9,ND,2013,April,oats
4,4.0,52.0,63.6,40.4,ND,2013,May,oats
5,5.02,64.5,73.8,55.2,ND,2013,June,oats
6,1.47,68.7,79.7,57.7,ND,2013,July,oats
7,1.72,69.2,81.6,56.7,ND,2013,August,oats
8,2.82,41.0,50.6,31.4,ND,2013,October,oats
9,0.37,23.6,34.0,13.3,ND,2013,November,oats
10,0.45,1.8,11.3,-7.6,ND,2013,December,oats
11,0.77,3.9,15.8,-8.0,ND,2014,January,oats
12,0.11,1.8,12.5,-8.8,ND,2014,February,oats
13,0.89,19.6,29.1,10.1,ND,2014,March,oats
14,1.75,35.4,46.7,24.0,ND,2014,April,oats
15,2.15,52.5,64.3,40.8,ND,2014,May,oats
16,4.39,62.3,72.2,52.4,ND,2014,June,oats
17,0.69,66.3,78.2,54.4,ND,2014,July,oats
18,2.45,67.5,78.9,56.0,ND,2014,August,oats
19,0.72,58.2,71.3,45.0,ND,2014,September,oats
20,0.64,45.6,57.7,33.6,ND,2014,October,oats
21,0.05,14.4,23.4,5.5,ND,2014,December,oats
22,0.28,12.7,22.2,3.3,ND,2015,January,oats
23,0.39,3.1,14.2,-7.9,ND,2015,February,oats
24,0.17,28.9,40.3,17.5,ND,2015,March,oats
25,0.54,42.2,55.9,28.4,ND,2015,April,oats
26,2.91,51.8,64.0,39.5,ND,2015,May,oats
27,2.88,64.7,76.5,52.8,ND,2015,June,oats
28,3.02,69.8,82.1,57.5,ND,2015,July,oats
29,1.15,67.5,83.1,51.9,ND,2015,August,oats
30,1.64,61.5,76.2,46.8,ND,2015,September,oats
31,1.57,46.8,58.5,35.1,ND,2015,October,oats
32,0.21,31.7,42.1,21.3,ND,2015,November,oats
33,0.58,19.5,27.4,11.4,ND,2015,December,oats
34,0.21,12.2,20.1,4.2,ND,2016,January,oats
35,0.36,23.1,31.6,14.7,ND,2016,February,oats
36,0.65,33.5,45.6,21.3,ND,2016,March,oats
37,2.83,39.6,50.2,29.0,ND,2016,April,oats
38,2.29,56.8,69.8,43.9,ND,2016,May,oats
39,2.97,64.6,76.4,52.9,ND,2016,June,oats
40,4.66,68.6,80.6,56.6,ND,2016,July,oats
41,1.26,68.4,83.4,53.3,ND,2016,August,oats
42,3.56,57.7,69.6,45.8,ND,2016,September,oats
43,1.13,44.2,54.3,34.1,ND,2016,October,oats
44,0.32,37.9,49.1,26.8,ND,2016,November,oats
45,0.85,7.2,15.4,-1.0,ND,2016,December,oats
46,0.14,8.5,16.0,0.9,ND,2017,January,oats
47,0.16,16.5,26.6,6.3,ND,2017,February,oats
48,0.23,22.9,32.2,13.5,ND,2017,March,oats
49,0.5,41.5,53.8,29.2,ND,2017,April,oats
50,0.76,54.3,68.2,40.5,ND,2017,May,oats
51,1.68,64.3,77.6,50.9,ND,2017,June,oats
52,1.27,72.0,85.9,58.2,ND,2017,July,oats
53,2.01,65.7,79.5,51.9,ND,2017,August,oats
54,1.6,58.2,71.0,45.3,ND,2017,September,oats
55,0.1,43.4,57.0,29.9,ND,2017,October,oats
56,0.57,23.5,33.2,13.9,ND,2017,November,oats
57,0.28,14.3,24.0,4.6,ND,2017,December,oats
58,0.03,8.3,19.0,-2.4,ND,2018,January,oats
59,0.06,2.1,13.9,-9.8,ND,2018,February,oats
60,1.59,21.8,31.7,11.9,ND,2018,March,oats
61,0.0,30.3,42.4,18.3,ND,2018,April,oats
62,0.94,60.1,74.2,45.9,ND,2018,May,oats
63,5.09,67.4,79.7,55.1,ND,2018,June,oats
64,0.94,69.7,83.3,56.1,ND,2018,July,oats
65,1.37,68.3,83.9,52.8,ND,2018,August,oats
66,0.96,53.9,66.1,41.6,ND,2018,September,oats
67,1.09,37.8,49.5,26.1,ND,2018,October,oats
68,0.71,21.2,28.8,13.7,ND,2018,November,oats
69,0.49,18.8,27.8,9.7,ND,2018,December,oats
70,0.45,4.6,14.2,-4.9,ND,2019,January,oats
71,0.43,-5.5,3.9,-15.0,ND,2019,February,oats
72,0.07,18.1,29.0,7.1,ND,2019,March,oats
73,1.44,39.8,52.1,27.6,ND,2019,April,oats
74,0.74,49.5,62.1,36.9,ND,2019,May,oats
75,4.18,63.7,76.5,50.8,ND,2019,June,oats
76,3.36,69.0,80.8,57.3,ND,2019,July,oats
77,2.25,65.6,78.5,52.7,ND,2019,August,oats
78,6.79,57.4,67.2,47.5,ND,2019,September,oats
79,2.29,36.0,44.1,28.0,ND,2019,October,oats
80,0.65,24.6,32.2,17.0,ND,2019,November,oats
81,0.2,13.5,22.3,4.7,ND,2019,December,oats
82,0.17,10.7,18.0,3.4,ND,2020,January,oats
83,0.0,17.0,27.5,6.5,ND,2020,February,oats
84,0.29,28.6,39.7,17.5,ND,2020,March,oats
85,0.48,36.6,49.5,23.6,ND,2020,April,oats
86,1.54,52.3,64.4,40.3,ND,2020,May,oats
87,1.22,66.4,79.5,53.3,ND,2020,June,oats
88,3.24,69.6,82.4,56.9,ND,2020,July,oats
89,2.33,,,,ND,2020,August,oats
90,0.28,57.9,71.4,44.4,ND,2020,September,oats
