,PRCP,TAVG,TMAX,TMIN,STATE,YEAR,MONTH,CROP
0,2.42,,,,NE,2020,September,soybean
1,0.75,,,,NE,2020,October,soybean
2,1.27,,,,NE,2020,November,soybean
3,8.2,,,,NE,2021,August,soybean
4,0.4,,,,NE,2021,November,soybean
5,0.3,,,,NE,2022,January,soybean
6,0.09,,,,NE,2022,February,soybean
7,1.63,,,,NE,2022,April,soybean
8,4.74,,,,NE,2022,May,soybean
9,2.56,,,,NE,2022,June,soybean
10,0.12,,,,NE,2022,October,soybean
11,0.75,,,,NE,2023,January,soybean
12,0.81,,,,NE,2023,March,soybean
13,0.1,,,,NE,2023,May,soybean
14,3.88,,,,NE,2023,June,soybean
15,6.77,,,,NE,2023,July,soybean
16,2.18,,,,NE,2023,August,soybean
17,1.52,,,,NE,2023,October,soybean
18,0.93,,,,IA,2013,January,soybean
19,0.69,,,,IA,2013,February,soybean
20,0.81,,,,IA,2013,March,soybean
21,3.11,,,,IA,2013,April,soybean
22,5.04,,,,IA,2013,May,soybean
23,3.3,,,,IA,2013,June,soybean
24,0.97,,,,IA,2013,July,soybean
25,4.41,,,,IA,2013,August,soybean
26,0.74,,,,IA,2013,September,soybean
27,3.25,,,,IA,2013,October,soybean
28,0.52,,,,IA,2013,November,soybean
29,,,,,IA,2014,June,soybean
30,1.54,,,,IA,2014,July,soybean
31,4.35,,,,IA,2014,August,soybean
32,3.14,,,,IA,2014,September,soybean
33,1.88,,,,IA,2014,October,soybean
34,0.39,,,,IA,2014,November,soybean
35,1.49,,,,IA,2014,December,soybean
36,0.36,,,,IA,2015,January,soybean
37,0.69,,,,IA,2015,February,soybean
38,0.42,,,,IA,2015,March,soybean
39,1.92,,,,IA,2015,April,soybean
40,3.45,,,,IA,2015,May,soybean
41,3.0,,,,IA,2015,June,soybean
42,4.23,,,,IA,2015,July,soybean
43,4.2,,,,IA,2015,August,soybean
44,4.03,,,,IA,2015,September,soybean
45,0.91,,,,IA,2015,October,soybean
46,2.93,,,,IA,2015,November,soybean
47,2.94,,,,IA,2015,December,soybean
48,0.64,,,,IA,2016,January,soybean
49,1.12,,,,IA,2016,February,soybean
50,1.76,,,,IA,2016,March,soybean
51,3.92,,,,IA,2016,April,soybean
52,4.54,,,,IA,2016,May,soybean
53,2.35,,,,IA,2016,June,soybean
54,1.69,,,,IA,2016,July,soybean
55,2.21,,,,IA,2016,August,soybean
56,4.43,,,,IA,2016,September,soybean
57,1.38,,,,IA,2016,October,soybean
58,1.71,,,,IA,2016,November,soybean
59,0.98,,,,IA,2016,December,soybean
60,1.19,,,,IA,2017,January,soybean
61,0.46,,,,IA,2017,February,soybean
62,2.48,,,,IA,2017,March,soybean
63,2.28,,,,IA,2017,April,soybean
64,8.11,,,,IA,2017,May,soybean
65,2.8,,,,IA,2017,June,soybean
66,0.74,,,,IA,2017,July,soybean
67,4.77,,,,IA,2017,August,soybean
68,4.17,,,,IA,2017,September,soybean
69,4.7,,,,IA,2017,October,soybean
70,0.17,,,,IA,2017,November,soybean
71,0.34,,,,IA,2017,December,soybean
72,0.85,,,,IA,2018,January,soybean
73,0.92,,,,IA,2018,February,soybean
74,2.18,,,,IA,2018,March,soybean
75,0.89,,,,IA,2018,April,soybean
76,5.4,,,,IA,2018,May,soybean
77,8.99,,,,IA,2018,June,soybean
78,2.98,,,,IA,2018,July,soybean
79,6.19,,,,IA,2018,August,soybean
80,5.13,,,,IA,2018,September,soybean
81,3.46,,,,IA,2018,October,soybean
82,1.3,,,,IA,2018,November,soybean
83,2.05,,,,IA,2018,December,soybean
84,0.15,,,,IA,2019,January,soybean
85,1.39,,,,IA,2019,February,soybean
86,2.51,,,,IA,2019,March,soybean
87,2.84,,,,IA,2019,April,soybean
88,8.67,,,,IA,2019,May,soybean
89,2.11,,,,IA,2019,June,soybean
90,4.98,,,,IA,2019,July,soybean
91,2.08,,,,IA,2019,August,soybean
92,3.9,,,,IA,2019,September,soybean
93,4.68,,,,IA,2019,October,soybean
94,0.35,,,,IA,2019,November,soybean
95,1.16,,,,IA,2019,December,soybean
96,0.93,,,,IA,2020,January,soybean
97,0.15,,,,IA,2020,February,soybean
98,2.43,,,,IA,2020,March,soybean
99,0.71,,,,IA,2020,April,soybean
100,2.08,,,,IA,2020,May,soybean
101,1.72,,,,IA,2020,June,soybean
102,4.15,,,,IA,2020,July,soybean
