"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","CDSD","CLDD","DP01","DP10","DSND","DSNW","DT00","DT32","DX32","DX70","DX90","EMNT","EMSD","EMSN","EMXP","EMXT","HDSD","HTDD","PRCP","SNOW","TAVG","TMAX","TMIN","WDF2","WDF5","WDFG","WSF2","WSF5","WSFG"
"USC00104456","IDAHO FALLS 16 SE, ID US","43.3455","-111.7847","1776.4","2013-01",,"0","0","10","5","31","7","11","30","20","0","0","-22","11","2.0","0.24","41","4558","1503","1.04","10.5","16.5","26.9","6.1",,,,,,
"USC00104456","IDAHO FALLS 16 SE, ID US","43.3455","-111.7847","1776.4","2013-02",,"0","0","6","2","28","5","2","28","14","0","0","-8","10","8.0","0.41","40","5735","1178","0.69","13.5","22.9","31.9","14.0",,,,,,
"USC00104456","IDAHO FALLS 16 SE, ID US","43.3455","-111.7847","1776.4","2013-03",,"0","0","8","6","17","5","1","29","3","0","0","-2","6","2.0","0.38","59","6755","1019","1.54","7.0","32.1","42.5","21.7",,,,,,
"USC00104456","IDAHO FALLS 16 SE, ID US","43.3455","-111.7847","1776.4","2013-04",,"0","0","7","5","0","0","0","22","0","0","0","11","0","0.0","0.44","66","7558","803","1.52","0.0","38.2","49.5","27.0",,,,,,
"USC00104456","IDAHO FALLS 16 SE, ID US","43.3455","-111.7847","1776.4","2013-05",,"0","0","9","7","0","0","0","7","0","5","0","14","0","0.0","0.25","81","8027","469","1.25","0.0","49.9","63.2","36.6",,,,,,
"USC00104456","IDAHO FALLS 16 SE, ID US","43.3455","-111.7847","1776.4","2013-06",,"27","27","3","0","0","0","0","4","0","24","1","29","0","0.0","0.06","91","8221","194","0.17","0.0","59.2","76.1","42.3",,,,,,
"USC00104456","IDAHO FALLS 16 SE, ID US","43.3455","-111.7847","1776.4","2013-07",,"141","114","6","2","0","0","0","0","0","31","1","45","0","0.0","0.13","90","4","4","0.34","0.0","68.6","85.2","52.0",,,,,,
"USC00104456","IDAHO FALLS 16 SE, ID US","43.3455","-111.7847","1776.4","2013-08",,"215","74","3","3","0","0","0","0","0","31","2","40","0","0.0","0.15","96","10","7","0.37","0.0","67.2","83.9","50.4",,,,,,
"USC00104456","IDAHO FALLS 16 SE, ID US","43.3455","-111.7847","1776.4","2013-09",,"231","16","12","11","0","0","0","3","0","18","0","29","0","0.0","1.95","86","258","248","4.04","0.0","57.3","68.9","45.6",,,,,,
"USC00104456","IDAHO FALLS 16 SE, ID US","43.3455","-111.7847","1776.4","2013-10",,"231","0","6","4","0","0","0","26","0","0","0","18","0","0.0","0.31","67","1020","762","0.94","0.0","40.4","52.9","27.9",,,,,,
"USC00104456","IDAHO FALLS 16 SE, ID US","43.3455","-111.7847","1776.4","2013-11",,"231","0","7","5","8","3","0","26","3","0","0","5","3","3.0","0.36","61","1963","943","1.07","7.0","33.6","43.7","23.5",,,,,,
"USC00104456","IDAHO FALLS 16 SE, ID US","43.3455","-111.7847","1776.4","2013-12",,"231","0","6","2","29","2","8","30","17","0","0","-23","4","3.0","0.28","46","3380","1417","0.48","5.0","19.3","29.7","8.8",,,,,,
"USC00104456","IDAHO FALLS 16 SE, ID US","43.3455","-111.7847","1776.4","2014-01",,"0","0","7","4","31","6","2","31","12","0","0","-3","7","4.0","0.79","41","4638","1258","2.01","10.0","24.4","33.9","14.9",,,,,,
"USC00104456","IDAHO FALLS 16 SE, ID US","43.3455","-111.7847","1776.4","2014-02",,"0","0","14","11","25","6","3","27","9","0","0","-14","14","5.0","0.54","48","5710","1072","3.18","18.5","26.7","35.4","18.0",,,,,,
"USC00104456","IDAHO FALLS 16 SE, ID US","43.3455","-111.7847","1776.4","2014-03",,"0","0","11","8","5","6","0","25","0","0","0","11","6","6.0","0.62","59","6613","903","2.60","17.0","35.9","46.2","25.5",,,,,,
"USC00104456","IDAHO FALLS 16 SE, ID US","43.3455","-111.7847","1776.4","2014-04",,"0","0","13","6","0","0","0","23","0","0","0","13","0","0.5","0.56","66","7339","726","1.67","0.5","40.8","53.6","28.0",,,,,,
"USC00104456","IDAHO FALLS 16 SE, ID US","43.3455","-111.7847","1776.4","2014-05",,"0","0","5","2","0","0","0","6","0","10","0","21","0","0.5","0.15","80","7762","422","0.42","0.5","50.9","65.6","36.3",,,,,,
"USC00104456","IDAHO FALLS 16 SE, ID US","43.3455","-111.7847","1776.4","2014-06",,"3","3","4","2","0","0","0","1","0","23","0","32","0","0.0","0.21","82","8017","255","0.45","0.0","56.6","72.3","40.9",,,,,,
"USC00104456","IDAHO FALLS 16 SE, ID US","43.3455","-111.7847","1776.4","2014-07",,"135","132","4","0","0","0","0","0","0","31","1","37","0","0.0","0.09","90","23","23","0.21","0.0","68.5","84.7","52.3",,,,,,
"USC00104456","IDAHO FALLS 16 SE, ID US","43.3455","-111.7847","1776.4","2014-08",,"162","27","12","8","0","0","0","0","0","27","0","38","0","0.0","0.84","87","118","95","3.73","0.0","62.8","76.7","48.9",,,,,,
"USC00104456","IDAHO FALLS 16 SE, ID US","43.3455","-111.7847","1776.4","2014-09",,"169","7","7","3","0","0","0","4","0","23","0","21","0","0.0","1.67","84","355","237","2.63","0.0","57.3","72.7","42.0",,,,,,
"USC00104456","IDAHO FALLS 16 SE, ID US","43.3455","-111.7847","1776.4","2014-10",,"169","0","2","1","0","0","0","9","0","7","0","20","0","0.0","0.15","73","854","499","0.23","0.0","48.9","64.1","33.6",,,,,,
"USC00104456","IDAHO FALLS 16 SE, ID US","43.3455","-111.7847","1776.4","2014-11",,"169","0","9","4","16","5","5","24","6","0","0","-12","6","3.0","0.80","66","1854","999","2.18","8.5","31.7","42.6","20.8",,,,,,
"USC00104456","IDAHO FALLS 16 SE, ID US","43.3455","-111.7847","1776.4","2014-12",,"169","0","11","5","7","4","5","28","9","0","0","-16","12","7.0","0.53","51","2996","1143","1.80","18.0","28.1","35.9","20.3",,,,,,
"USC00104456","IDAHO FALLS 16 SE, ID US","43.3455","-111.7847","1776.4","2015-01",,"0","0","4","3","31","2","2","30","14","0","0","-9","10","3.0","0.23","47","4198","1202","0.58","5.0","26.2","33.7","18.8",,,,,,
"USC00104456","IDAHO FALLS 16 SE, ID US","43.3455","-111.7847","1776.4","2015-02",,"0","0","7","4","0","0","0","20","1","0","0","3","0","0.0","0.45","56","5077","879","1.31","0.0","33.6","42.4","24.9",,,,,,
