"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","CDSD","CLDD","DP01","DP10","DSND","DSNW","DT00","DT32","DX32","DX70","DX90","EMNT","EMSD","EMSN","EMXP","EMXT","HDSD","HTDD","PRCP","SNOW","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WSFG"
"US1NESN0010","WAHOO 0.4 SE, NE US","41.2116637","-96.6145198","364.8","2020-09",,,,"5","4",,,,,,,,,,,"1.79",,,,"2.42",,,,,,,,,
"US1NESN0010","WAHOO 0.4 SE, NE US","41.2116637","-96.6145198","364.8","2020-10",,,,"6","3",,,,,,,,,,,"0.38",,,,"0.75",,,,,,,,,
"US1NESN0010","WAHOO 0.4 SE, NE US","41.2116637","-96.6145198","364.8","2020-11",,,,"5","4",,,,,,,,,,,"0.76",,,,"1.27",,,,,,,,,
"US1NESN0010","WAHOO 0.4 SE, NE US","41.2116637","-96.6145198","364.8","2021-08",,,,,,,,,,,,,,,,,,,,"8.20",,,,,,,,,
"US1NESN0010","WAHOO 0.4 SE, NE US","41.2116637","-96.6145198","364.8","2021-11",,,,,,,,,,,,,,,,,,,,"0.40",,,,,,,,,
"US1NESN0010","WAHOO 0.4 SE, NE US","41.2116637","-96.6145198","364.8","2022-01",,,,,,,,,,,,,,,,,,,,"0.30",,,,,,,,,
"US1NESN0010","WAHOO 0.4 SE, NE US","41.2116637","-96.6145198","364.8","2022-02",,,,,,,,,,,,,,,,,,,,"0.09",,,,,,,,,
"US1NESN0010","WAHOO 0.4 SE, NE US","41.2116637","-96.6145198","364.8","2022-04",,,,,,,,,,,,,,,,,,,,"1.63",,,,,,,,,
"US1NESN0010","WAHOO 0.4 SE, NE US","41.2116637","-96.6145198","364.8","2022-05",,,,,,,,,,,,,,,,,,,,"4.74",,,,,,,,,
"US1NESN0010","WAHOO 0.4 SE, NE US","41.2116637","-96.6145198","364.8","2022-06",,,,,,,,,,,,,,,,,,,,"2.56",,,,,,,,,
"US1NESN0010","WAHOO 0.4 SE, NE US","41.2116637","-96.6145198","364.8","2022-10",,,,,,,,,,,,,,,,,,,,"0.12",,,,,,,,,
