"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"USC00104456","IDAHO FALLS 16 SE, ID US","43.3455","-111.7847","1776.4","2013-01",,,"0","7","0",",7","10",",7","5",",7","31",",7","7",",7","11",",7","30",",7","20",",7","0",",7","0",",7","-22",",7,13,","11",",,7,17,+","2.0",",,7,27,+","0.24",",,7,11,","41",",7,23,","4558","7","1503",",7","1.04",",,,7","10.5",",,,7","16.5",",7","26.9",",,,7","6.1",",,,7",,,,,,,,,,
"USC00104456","IDAHO FALLS 16 SE, ID US","43.3455","-111.7847","1776.4","2013-02",,,"0","7","0",",7","6",",7","2",",7","28",",7","5",",7","2",",7","28",",7","14",",7","0",",7","0",",7","-8",",7,24,","10",",,7,24,+","8.0",",,7,23,","0.41",",,7,23,","40",",7,05,+","5735","7","1178",",7","0.69",",,,7","13.5",",,,7","22.9",",7","31.9",",,,7","14.0",",,,7",,,,,,,,,,
"USC00104456","IDAHO FALLS 16 SE, ID US","43.3455","-111.7847","1776.4","2013-03",,,"0","7","0",",7","8",",7","6",",7","17",",7","5",",7","1",",7","29",",7","3",",7","0",",7","0",",7","-2",",7,23,","6",",,7,01,","2.0",",,7,22,+","0.38",",,7,20,","59",",7,31,","6755","7","1019",",7","1.54",",,,7","7.0",",,,7","32.1",",7","42.5",",,,7","21.7",",,,7",,,,,,,,,,
"USC00104456","IDAHO FALLS 16 SE, ID US","43.3455","-111.7847","1776.4","2013-04",,,"0","7","0",",7","7",",7","5",",7","0",",7","0",",7","0",",7","22",",7","0",",7","0",",7","0",",7","11",",7,18,","0",",,7,30,+","0.0",",T,7,30,+","0.44",",,7,13,","66",",7,27,","7558","7","803",",7","1.52",",,,7","0.0",",T,,7","38.2",",7","49.5",",,,7","27.0",",,,7",,,,,,,,,,
"USC00104456","IDAHO FALLS 16 SE, ID US","43.3455","-111.7847","1776.4","2013-05",,,"0","7","0",",7","9",",7","7",",7","0",",7","0",",7","0",",7","7",",7","0",",7","5",",7","0",",7","14",",7,01,","0",",,7,31,+","0.0",",,7,31,+","0.25",",,7,28,","81",",7,14,","8027","7","469",",7","1.25",",,,7","0.0",",,,7","49.9",",7","63.2",",,,7","36.6",",,,7",,,,,,,,,,
"USC00104456","IDAHO FALLS 16 SE, ID US","43.3455","-111.7847","1776.4","2013-06",,,"27","7","27","1,7","3",",7","0",",7","0",",7","0",",7","0","1,7","4","1,7","0",",7","24",",7","1",",7","29","1,7,15,","0",",,7,30,+","0.0",",,7,30,+","0.06",",,7,13,+","91",",7,29,","8221","7","194",",7","0.17",",,,7","0.0",",,,7","59.2","1,7","76.1",",,,7","42.3","1,,,7",,,,,,,,,,
"USC00104456","IDAHO FALLS 16 SE, ID US","43.3455","-111.7847","1776.4","2013-07",,,"141","7","114",",7","6",",7","2",",7","0",",7","0",",7","0",",7","0",",7","0",",7","31",",7","1",",7","45",",7,23,","0",",,7,31,+","0.0",",,7,31,+","0.13",",,7,07,","90",",7,10,","4","7","4",",7","0.34",",,,7","0.0",",,,7","68.6",",7","85.2",",,,7","52.0",",,,7",,,,,,,,,,
"USC00104456","IDAHO FALLS 16 SE, ID US","43.3455","-111.7847","1776.4","2013-08",,,"215","7","74",",7","3",",7","3",",7","0",",7","0",",7","0",",7","0",",7","0",",7","31",",7","2",",7","40",",7,04,","0",",,7,31,+","0.0",",,7,31,+","0.15",",,7,08,","96",",7,17,","10","7","7",",7","0.37",",,,7","0.0",",,,7","67.2",",7","83.9",",,,7","50.4",",,,7",,,,,,,,,,
"USC00104456","IDAHO FALLS 16 SE, ID US","43.3455","-111.7847","1776.4","2013-09",,,"231","7","16",",7","12",",7","11",",7","0",",7","0",",7","0",",7","3",",7","0",",7","18",",7","0",",7","29",",7,19,","0",",,7,30,+","0.0",",,7,30,+","1.95",",,7,03,","86",",7,01,","258","7","248",",7","4.04",",,,7","0.0",",,,7","57.3",",7","68.9",",,,7","45.6",",,,7",,,,,,,,,,
"USC00104456","IDAHO FALLS 16 SE, ID US","43.3455","-111.7847","1776.4","2013-10",,,"231","7","0",",7","6",",7","4",",7","0",",7","0",",7","0",",7","26",",7","0",",7","0",",7","0",",7","18",",7,15,","0",",T,7,30,+","0.0",",T,7,31,+","0.31",",,7,13,","67",",7,07,","1020","7","762",",7","0.94",",,,7","0.0",",T,,7","40.4",",7","52.9",",,,7","27.9",",,,7",,,,,,,,,,
