"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","CDSD","CLDD","DP01","DP10","DSND","DSNW","DT00","DT32","DX32","DX70","DX90","EMNT","EMSD","EMSN","EMXP","EMXT","HDSD","HTDD","MNPN","MXPN","PRCP","SNOW","TAVG","TMAX","TMIN","TSUN","WDF2","WDF5","WDFG","WSF2","WSF5","WSFG"
"USC00454338","LACROSSE, WA US","46.8167","-117.883","449.9","2013-01",,"0","0","8","3",,,"0","27","15","0","0","7",,,"0.65","54","3364","1162",,,"1.12",,"27.5","34.0","21.1",,,,,,,
"USC00454338","LACROSSE, WA US","46.8167","-117.883","449.9","2013-02",,"0","0","6","4",,,"0","24","0","0","0","19",,,"0.35","56","4159","795",,,"0.78",,"36.6","46.3","26.9",,,,,,,
"USC00454338","LACROSSE, WA US","46.8167","-117.883","449.9","2013-03",,"0","0","10","3",,,"0","16","0","0","0","16",,,"0.32","69","4771","612",,,"0.80",,"43.1","55.6","30.7",,,,,,,
"USC00454338","LACROSSE, WA US","46.8167","-117.883","449.9","2013-04",,"0","0","12","5",,,"0","14","0","4","0","16",,,"0.39","77","5307","535",,,"1.58",,"47.2","61.0","33.3",,,,,,,
"USC00454338","LACROSSE, WA US","46.8167","-117.883","449.9","2013-05",,"16","16","8","5",,,"0","3","0","22","1","21",,,"0.26","92","5544","238",,,"1.01",,"57.8","74.1","41.6",,,,,,,
"USC00454338","LACROSSE, WA US","46.8167","-117.883","449.9","2013-06",,"90","74","7","5",,,"0","0","0","26","5","38",,,"0.42","97","5650","105",,,"1.45",,"63.9","80.2","47.7",,,,,,,
"USC00454338","LACROSSE, WA US","46.8167","-117.883","449.9","2013-07",,"353","263","2","0","0","0","0","0","0","31","27","41","0","0.0","0.03","105","4","4",,,"0.04","0.0","73.3","95.1","51.6",,,,,,,
"USC00454338","LACROSSE, WA US","46.8167","-117.883","449.9","2013-08",,"586","234","4","2",,,"0","0","0","30","22","41",,,"0.32","101","7","4",,,"0.49",,"72.4","91.5","53.4",,,,,,,
"USC00454338","LACROSSE, WA US","46.8167","-117.883","449.9","2013-09",,"701","114","11","5",,,"0","0","0","20","8","37",,,"0.72","98","135","128",,,"2.24",,"64.5","78.8","50.3",,,,,,,
"USC00454338","LACROSSE, WA US","46.8167","-117.883","449.9","2013-10",,"701","0","4","1","0","0","0","18","0","4","0","17","0","0.0","0.31","79","706","570",,,"0.41","0.0","46.6","62.3","30.9",,,,,,,
"USC00454338","LACROSSE, WA US","46.8167","-117.883","449.9","2013-11",,"701","0","9","4","0","0","0","21","1","0","0","5","0","0.1","0.30","60","1591","885",,,"1.00","0.1","35.5","45.3","25.7",,,,,,,
"USC00454338","LACROSSE, WA US","46.8167","-117.883","449.9","2013-12",,"701","0","9","2","3","3","1","29","12","0","0","-7","5","5.4","0.32","52","2778","1187",,,"0.87","8.5","26.7","35.7","17.7",,,,,,,
"USC00454338","LACROSSE, WA US","46.8167","-117.883","449.9","2014-01",,"0","0","9","4",,,"0","26","10","0","0","12",,,"0.45","54","3778","1000",,,"0.96",,"32.7","38.6","26.9",,,,,,,
"USC00454338","LACROSSE, WA US","46.8167","-117.883","449.9","2014-02",,"0","0","17","5","3","5","1","24","10","0","0","0","5","3.8","0.35","54","4745","967",,,"1.68","14.7","30.5","37.2","23.7",,,,,,,
"USC00454338","LACROSSE, WA US","46.8167","-117.883","449.9","2014-03",,"0","0","16","7",,,"0","18","1","0","0","19",,,"0.30","64","5421","676",,,"1.87",,"43.2","54.7","31.7",,,,,,,
"USC00454338","LACROSSE, WA US","46.8167","-117.883","449.9","2014-04",,"0","0","7","2",,,"0","8","0","5","0","27",,,"0.46","79","5887","466",,,"1.03",,"49.5","63.7","35.2",,,,,,,
"USC00454338","LACROSSE, WA US","46.8167","-117.883","449.9","2014-05",,"3","3","3","2",,,"0","2","0","23","0","32",,,"0.27","87","6092","205",,,"0.43",,"58.5","75.3","41.6",,,,,,,
"USC00454338","LACROSSE, WA US","46.8167","-117.883","449.9","2014-06",,"42","39","6","4","0","0","0","0","0","28","2","37","0","0.0","0.65","92","6158","65",,,"1.17","0.0","64.1","80.7","47.5",,,,,,,
"USC00454338","LACROSSE, WA US","46.8167","-117.883","449.9","2014-07",,"428","386","2","0","0","0","0","0","0","31","27","46","0","0.0","0.05","107","2","2",,,"0.09","0.0","77.4","96.9","57.9",,,,,,,
"USC00454338","LACROSSE, WA US","46.8167","-117.883","449.9","2014-08",,"700","272","3","2",,,"0","0","0","31","18","47",,,"0.37","107","2","0",,,"0.66",,"73.8","91.8","55.8",,,,,,,
"USC00454338","LACROSSE, WA US","46.8167","-117.883","449.9","2014-09",,"740","40","2","0","0","0","0","0","0","29","6","33","0","0.0","0.07","94","72","70",,,"0.12","0.0","64.0","82.5","45.5",,,,,,,
"USC00454338","LACROSSE, WA US","46.8167","-117.883","449.9","2014-10",,"740","0","6","3","0","0","0","2","0","14","0","30","0","0.0","0.46","81","367","294",,,"1.14","0.0","55.5","68.8","42.2",,,,,,,
"USC00454338","LACROSSE, WA US","46.8167","-117.883","449.9","2014-11",,"740","0","15","7",,,"0","16","5","0","0","4",,,"0.41","68","1213","846",,,"1.70",,"36.8","45.9","27.7",,,,,,,
"USC00454338","LACROSSE, WA US","46.8167","-117.883","449.9","2014-12",,"740","0","18","10",,,"0","25","7","0","0","8",,,"0.48","66","2163","950",,,"2.50",,"34.3","41.6","27.1",,,,,,,
"USC00454338","LACROSSE, WA US","46.8167","-117.883","449.9","2015-01",,"0","0","14","6",,,"0","24","4","0","0","8",,,"0.64","61","3094","931",,,"1.89",,"34.0","39.4","28.5",,,,,,,
"USC00454338","LACROSSE, WA US","46.8167","-117.883","449.9","2015-02",,"0","0","11","5",,,"0","18","0","0","0","18",,,"0.38","64","3742","648",,,"1.08",,"41.8","52.2","31.5",,,,,,,
