"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USR0000CNEE","NEEDLE CREEK COLORADO, CO US","38.3894","-106.5303","2712.7","2013-01","0","U","0",",U",,,,,,,,,"13",",U","31",",U","24",",U","0",",U","0",",U","-14",",U,15,+",,,,,,,"41",",U,27,","5028","U","1585",",U",,,,,"13.9",",U","25.0",",,,U","2.8",",,,U"
"USR0000CNEE","NEEDLE CREEK COLORADO, CO US","38.3894","-106.5303","2712.7","2013-02","0","U","0",",U",,,,,,,,,"2",",U","28",",U","20",",U","0",",U","0",",U","-2",",U,28,",,,,,,,"39",",U,06,","6332","U","1304",",U",,,,,"18.4",",U","28.8",",,,U","8.0",",,,U"
"USR0000CNEE","NEEDLE CREEK COLORADO, CO US","38.3894","-106.5303","2712.7","2013-03","0","U","0",",U",,,,,,,,,"2",",U","31",",U","5",",U","0",",U","0",",U","-2",",U,25,+",,,,,,,"55",",U,31,","7468","U","1136",",U",,,,,"28.4",",U","40.2",",,,U","16.5",",,,U"
"USR0000CNEE","NEEDLE CREEK COLORADO, CO US","38.3894","-106.5303","2712.7","2013-04","0","U","0",",U",,,,,,,,,"0",",U","27",",U","2",",U","0",",U","0",",U","10",",U,19,+",,,,,,,"66",",U,30,","8313","U","845",",U",,,,,"36.8",",U","48.7",",,,U","24.9",",,,U"
"USR0000CNEE","NEEDLE CREEK COLORADO, CO US","38.3894","-106.5303","2712.7","2013-05","0","U","0",",U",,,,,,,,,"0",",U","13",",U","0",",U","5",",U","0",",U","15",",U,02,",,,,,,,"73",",U,25,","8887","U","574",",U",,,,,"46.5",",U","59.5",",,,U","33.4",",,,U"
"USR0000CNEE","NEEDLE CREEK COLORADO, CO US","38.3894","-106.5303","2712.7","2013-06","10","U","10",",U",,,,,,,,,"0",",U","1",",U","0",",U","29",",U","0",",U","31",",U,01,",,,,,,,"89",",U,27,","9016","U","129",",U",,,,,"61.0",",U","76.6",",,,U","45.4",",,,U"
"USR0000CNEE","NEEDLE CREEK COLORADO, CO US","38.3894","-106.5303","2712.7","2013-07","45","U","35",",U",,,,,,,,,"0",",U","0",",U","0",",U","29",",U","0",",U","42",",U,30,",,,,,,,"88",",U,23,","56","U","56",",U",,,,,"64.3",",U","78.7",",,,U","50.0",",,,U"
"USR0000CNEE","NEEDLE CREEK COLORADO, CO US","38.3894","-106.5303","2712.7","2013-08","49","U","4",",U",,,,,,,,,"0",",U","0",",U","0",",U","28",",U","0",",U","40",",U,11,",,,,,,,"84",",U,17,","164","U","108",",U",,,,,"61.6",",U","76.2",",,,U","47.2",",,,U"
"USR0000CNEE","NEEDLE CREEK COLORADO, CO US","38.3894","-106.5303","2712.7","2013-09","51","U","2",",U",,,,,,,,,"0",",U","5",",U","0",",U","10",",U","0",",U","22",",U,28,",,,,,,,"85",",U,05,","474","U","310",",U",,,,,"54.7",",U","67.9",",,,U","41.6",",,,U"
"USR0000CNEE","NEEDLE CREEK COLORADO, CO US","38.3894","-106.5303","2712.7","2013-10","51","U","0",",U",,,,,,,,,"0",",U","24",",U","1",",U","1",",U","0",",U","17",",U,05,",,,,,,,"72",",U,01,","1260","U","786",",U",,,,,"39.6",",U","52.0",",,,U","27.2",",,,U"
"USR0000CNEE","NEEDLE CREEK COLORADO, CO US","38.3894","-106.5303","2712.7","2013-11","51","U","0",",U",,,,,,,,,"0",",U","30",",U","1",",U","0",",U","0",",U","7",",U,06,",,,,,,,"56",",U,02,","2270","U","1010",",U",,,,,"31.3",",U","42.7",",,,U","20.0",",,,U"
"USR0000CNEE","NEEDLE CREEK COLORADO, CO US","38.3894","-106.5303","2712.7","2013-12","51","U","0",",U",,,,,,,,,"10",",U","31",",U","20",",U","0",",U","0",",U","-15",",U,10,",,,,,,,"43",",U,19,","3761","U","1491",",U",,,,,"16.9",",U","27.9",",,,U","5.9",",,,U"
"USR0000CNEE","NEEDLE CREEK COLORADO, CO US","38.3894","-106.5303","2712.7","2014-01","0","U","0",",U",,,,,,,,,"3",",U","31",",U","17",",U","0",",U","0",",U","-3",",U,06,",,,,,,,"44",",U,11,","5153","U","1391",",U",,,,,"20.1",",U","30.7",",,,U","9.5",",,,U"
"USR0000CNEE","NEEDLE CREEK COLORADO, CO US","38.3894","-106.5303","2712.7","2014-02","0","U","0",",U",,,,,,,,,"2",",U","28",",U","12",",U","0",",U","0",",U","0",",U,03,+",,,,,,,"51",",U,17,","6269","U","1116",",U",,,,,"25.1",",U","35.2",",,,U","15.1",",,,U"
"USR0000CNEE","NEEDLE CREEK COLORADO, CO US","38.3894","-106.5303","2712.7","2014-03","0","U","0",",U",,,,,,,,,"0",",U","31",",U","2",",U","0",",U","0",",U","8",",U,18,",,,,,,,"53",",U,21,","7360","U","1092",",U",,,,,"29.8",",U","41.6",",,,U","18.0",",,,U"
"USR0000CNEE","NEEDLE CREEK COLORADO, CO US","38.3894","-106.5303","2712.7","2014-04","0","U","0",",U",,,,,,,,,"0",",U","27",",U","2",",U","0",",U","0",",U","10",",U,04,",,,,,,,"64",",U,22,","8217","U","856",",U",,,,,"36.5",",U","48.0",",,,U","24.9",",,,U"
"USR0000CNEE","NEEDLE CREEK COLORADO, CO US","38.3894","-106.5303","2712.7","2014-05","0","U","0",",U",,,,,,,,,"0",",U","12",",U","0",",U","7",",U","0",",U","17",",U,14,",,,,,,,"75",",U,28,","8775","U","558",",U",,,,,"47.0",",U","60.4",",,,U","33.6",",,,U"
"USR0000CNEE","NEEDLE CREEK COLORADO, CO US","38.3894","-106.5303","2712.7","2014-06","0","U","0",",U",,,,,,,,,"0",",U","1",",U","0",",U","25",",U","0",",U","31",",U,09,",,,,,,,"81",",U,30,+","9001","U","226",",U",,,,,"57.5",",U","73.1",",,,U","41.8",",,,U"
"USR0000CNEE","NEEDLE CREEK COLORADO, CO US","38.3894","-106.5303","2712.7","2014-07","25","U","24",",U",,,,,,,,,"0",",U","0",",U","0",",U","30",",U","1",",U","44",",U,17,",,,,,,,"90",",U,23,","45","U","45",",U",,,,,"64.3",",U","79.3",",,,U","49.4",",,,U"
"USR0000CNEE","NEEDLE CREEK COLORADO, CO US","38.3894","-106.5303","2712.7","2014-08","25","U","0",",U",,,,,,,,,"0",",U","0",",U","0",",U","23",",U","0",",U","39",",U,29,",,,,,,,"81",",U,18,+","227","U","183",",U",,,,,"59.1",",U","72.7",",,,U","45.5",",,,U"
"USR0000CNEE","NEEDLE CREEK COLORADO, CO US","38.3894","-106.5303","2712.7","2014-12",,,"0",",U",,,,,,,,,"3",",U","31",",U","18",",U","0",",U","0",",U","-5",",U,28,",,,,,,,"47",",U,13,",,,"1336",",U",,,,,"21.9",",U","30.3",",,,U","13.5",",,,U"
"USR0000CNEE","NEEDLE CREEK COLORADO, CO US","38.3894","-106.5303","2712.7","2015-01","0","U","0",",U",,,,,,,,,"4",",U","31",",U","14",",U","0",",U","0",",U","-4",",U,03,",,,,,,,"44",",U,27,",,,"1312",",U",,,,,"22.7",",U","32.3",",,,U","13.1",",,,U"
"USR0000CNEE","NEEDLE CREEK COLORADO, CO US","38.3894","-106.5303","2712.7","2015-02","0","U","0",",U",,,,,,,,,"0",",U","28",",U","9",",U","0",",U","0",",U","5",",U,17,",,,,,,,"50",",U,14,+",,,"1048",",U",,,,,"27.6",",U","37.8",",,,U","17.3",",,,U"
"USR0000CNEE","NEEDLE CREEK COLORADO, CO US","38.3894","-106.5303","2712.7","2015-03","0","U","0",",U",,,,,,,,,"1",",U","28",",U","2",",U","0",",U","0",",U","-1",",U,05,",,,,,,,"62",",U,31,",,,"901",",U",,,,,"35.9",",U","48.6",",,,U","23.3",",,,U"
"USR0000CNEE","NEEDLE CREEK COLORADO, CO US","38.3894","-106.5303","2712.7","2015-04","0","U","0",",U",,,,,,,,,"0",",U","27",",U","1",",U","0",",U","0",",U","15",",U,18,",,,,,,,"66",",U,30,",,,"765",",U",,,,,"39.5",",U","52.1",",,,U","26.9",",,,U"
"USR0000CNEE","NEEDLE CREEK COLORADO, CO US","38.3894","-106.5303","2712.7","2015-05","0","U","0",",U",,,,,,,,,"0",",U","12",",U","0",",U","1",",U","0",",U","26",",U,11,",,,,,,,"70",",U,31,",,,"628",",U",,,,,"44.7",",U","55.7",",,,U","33.8",",,,U"
"USR0000CNEE","NEEDLE CREEK COLORADO, CO US","38.3894","-106.5303","2712.7","2015-06","11","U","11",",U",,,,,,,,,"0",",U","0",",U","0",",U","21",",U","0",",U","36",",U,07,",,,,,,,"84",",U,30,+",,,"177",",U",,,,,"59.4",",U","73.0",",,,U","45.8",",,,U"
"USR0000CNEE","NEEDLE CREEK COLORADO, CO US","38.3894","-106.5303","2712.7","2015-07","14","U","4",",U",,,,,,,,,"0",",U","0",",U","0",",U","19",",U","0",",U","41",",U,10,",,,,,,,"82",",U,01,","157","U","157",",U",,,,,"60.0",",U","72.2",",,,U","47.9",",,,U"
"USR0000CNEE","NEEDLE CREEK COLORADO, CO US","38.3894","-106.5303","2712.7","2015-08","21","U","7",",U",,,,,,,,,"0",",U","0",",U","0",",U","27",",U","0",",U","42",",U,20,",,,,,,,"83",",U,14,","269","U","111",",U",,,,,"61.6",",U","75.5",",,,U","47.8",",,,U"
"USR0000CNEE","NEEDLE CREEK COLORADO, CO US","38.3894","-106.5303","2712.7","2015-09","21","U","0",",U",,,,,,,,,"0",",U","0",",U","0",",U","20",",U","0",",U","37",",U,20,",,,,,,,"77",",U,12,","504","U","235",",U",,,,,"57.2",",U","71.3",",,,U","43.0",",,,U"
"USR0000CNEE","NEEDLE CREEK COLORADO, CO US","38.3894","-106.5303","2712.7","2015-10","21","U","0",",U",,,,,,,,,"0",",U","8",",U","0",",U","7",",U","0",",U","22",",U,28,",,,,,,,"74",",U,01,","1059","U","555",",U",,,,,"47.1",",U","58.9",",,,U","35.3",",,,U"
"USR0000CNEE","NEEDLE CREEK COLORADO, CO US","38.3894","-106.5303","2712.7","2015-11","21","U","0",",U",,,,,,,,,"0",",U","29",",U","4",",U","0",",U","0",",U","8",",U,30,",,,,,,,"61",",U,02,","2117","U","1058",",U",,,,,"29.7",",U","41.1",",,,U","18.3",",,,U"
