"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","CDSD","CLDD","DP01","DP10","DSND","DSNW","DT00","DT32","DX32","DX70","DX90","EMNT","EMSD","EMSN","EMXP","EMXT","HDSD","HTDD","PRCP","SNOW","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5"
"USS0007E18S","BONE SPRINGS DIV, WY US","44.68","-107.58","2849.9","2013-01",,"0","0","10","10","31",,"6","31","19","0","0","-15","44",,"0.40","42","6015","1431","2.00",,"18.8","26.8","10.9",,,,
"USS0007E18S","BONE SPRINGS DIV, WY US","44.68","-107.58","2849.9","2013-02",,"0","0","5","5","28",,"2","28","21","0","0","-5","46",,"0.30","36","7345","1330","1.20",,"17.5","26.1","8.9",,,,
"USS0007E18S","BONE SPRINGS DIV, WY US","44.68","-107.58","2849.9","2013-03",,"0","0","13","13","31",,"6","31","11","0","0","-5","51",,"0.50","48","8659","1313","1.78",,"22.6","32.6","12.6",,,,
"USS0007E18S","BONE SPRINGS DIV, WY US","44.68","-107.58","2849.9","2013-04",,"0","0","17","17","30",,"3","30","12","0","0","-2","64",,"0.60","54","9857","1198","3.19",,"25.1","35.3","14.8",,,,
"USS0007E18S","BONE SPRINGS DIV, WY US","44.68","-107.58","2849.9","2013-05",,"0","0","19","19","31",,"0","11","1","0","0","12","61",,"0.70","64","10602","745","4.09",,"41.0","50.3","31.6",,,,
"USS0007E18S","BONE SPRINGS DIV, WY US","44.68","-107.58","2849.9","2013-06",,"0","0","9","9","5",,"0","4","0","0","0","27","12",,"0.20","69","11056","454","0.99",,"49.9","59.7","40.0",,,,
"USS0007E18S","BONE SPRINGS DIV, WY US","44.68","-107.58","2849.9","2013-07",,"0","0","9","9","0",,"0","0","0","6","0","42","0",,"0.20","74","243","243","1.30",,"57.1","67.1","47.2",,,,
"USS0007E18S","BONE SPRINGS DIV, WY US","44.68","-107.58","2849.9","2013-08",,"0","0","4","4","0",,"0","0","0","7","0","42","0",,"0.80","73","481","238","1.30",,"57.3","67.0","47.6",,,,
"USS0007E18S","BONE SPRINGS DIV, WY US","44.68","-107.58","2849.9","2013-09",,"0","0","13","13","6",,"0","7","0","2","0","22","9",,"1.00","74","1005","524","4.80",,"47.5","56.0","39.1",,,,
"USS0007E18S","BONE SPRINGS DIV, WY US","44.68","-107.58","2849.9","2013-10",,"0","0","15","15","30",,"0","27","5","0","0","13","16",,"0.50","58","2031","1026","3.19",,"31.9","39.8","24.0",,,,
"USS0007E18S","BONE SPRINGS DIV, WY US","44.68","-107.58","2849.9","2013-11",,"0","0","8","8","30",,"0","30","14","0","0","2","24",,"0.30","47","3230","1199","1.09",,"25.0","32.4","17.6",,,,
"USS0007E18S","BONE SPRINGS DIV, WY US","44.68","-107.58","2849.9","2013-12",,"0","0","15","15","31",,"7","31","25","0","0","-23","39",,"0.40","42","4840","1610","2.39",,"13.0","20.7","5.4",,,,
"USS0007E18S","BONE SPRINGS DIV, WY US","44.68","-107.58","2849.9","2014-01",,"0","0","12","12","31",,"7","31","24","0","0","-16","53",,"0.50","39","6312","1471","2.49",,"17.5","25.6","9.5",,,,
"USS0007E18S","BONE SPRINGS DIV, WY US","44.68","-107.58","2849.9","2014-02",,"0","0","17","17","28",,"10","28","24","0","0","-28","74",,"0.70","38","7822","1510","4.10",,"11.1","20.0","2.1",,,,
"USS0007E18S","BONE SPRINGS DIV, WY US","44.68","-107.58","2849.9","2014-03",,"0","0","16","16","31",,"1","31","12","0","0","-13","79",,"0.80","45","9106","1284","3.80",,"23.6","33.5","13.7",,,,
"USS0007E18S","BONE SPRINGS DIV, WY US","44.68","-107.58","2849.9","2014-04",,"0","0","15","15","30",,"0","29","6","0","0","2","82",,"0.60","57","10163","1057","3.40",,"29.7","39.3","20.2",,,,
"USS0007E18S","BONE SPRINGS DIV, WY US","44.68","-107.58","2849.9","2014-05",,"0","0","14","14","31",,"0","15","2","0","0","17","68",,"0.30","65","10907","744","2.08",,"41.0","50.7","31.4",,,,
