"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","CDSD","CLDD","DP01","DP10","DSND","DSNW","DT00","DT32","DX32","DX70","DX90","EMNT","EMSD","EMSN","EMXP","EMXT","HDSD","HTDD","PRCP","SNOW","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5"
"USC00256167","OCONTO, NE US","41.1439","-99.7633","786.4","2013-02",,,"0","3","3","11","3","2","27","6","0","0","-2","7","4.0","0.35","64",,"1013","0.68","8.5","28.8","42.3","15.3",,,,
"USC00256167","OCONTO, NE US","41.1439","-99.7633","786.4","2013-03",,,"0","2","1","2","1","0","28","2","2","0","6","2","1.0","0.19","77",,"900","0.23","1.0","35.9","50.1","21.8",,,,
"USC00256167","OCONTO, NE US","41.1439","-99.7633","786.4","2013-04",,,"0","5","5","5","3","0","21","0","10","0","17","3","3.0","0.97","81",,"573","2.42","6.5","44.5","60.7","28.3",,,,
"USC00256167","OCONTO, NE US","41.1439","-99.7633","786.4","2013-05",,,"28","9","8","0","0","0","4","0","17","2","23","0","0.0","2.19","99",,"230","3.74","0.0","58.4","72.0","44.8",,,,
"USC00256167","OCONTO, NE US","41.1439","-99.7633","786.4","2013-06",,,"155","8","7","0","0","0","0","0","29","5","37","0","0.0","1.32","98",,"46","3.36","0.0","68.9","82.1","55.7",,,,
"USC00256167","OCONTO, NE US","41.1439","-99.7633","786.4","2013-07",,,"256","4","4","0","0","0","0","0","29","10","44","0","0.0","0.61","98","18","18","1.11","0.0","72.7","86.1","59.2",,,,
"USC00256167","OCONTO, NE US","41.1439","-99.7633","786.4","2013-08",,,"288","2","2","0","0","0","0","0","31","11","55","0","0.0","0.90","100","18","0","1.41","0.0","74.5","86.5","62.5",,,,
"USC00256167","OCONTO, NE US","41.1439","-99.7633","786.4","2013-09",,,"152","2","2","0","0","0","0","0","27","8","37","0","0.0","1.73","102","67","49","2.27","0.0","68.5","82.7","54.4",,,,
"USC00256167","OCONTO, NE US","41.1439","-99.7633","786.4","2013-10",,,"0","3","3","0","0","0","9","0","10","0","24","0","0.0","0.57","80","544","477","1.15","0.0","49.0","62.3","35.6",,,,
"USC00256167","OCONTO, NE US","41.1439","-99.7633","786.4","2013-11",,,"0",,,,,"0","27","1","0","0","3",,,,"65","1425","881",,,"35.6","50.0","21.3",,,,
"USC00256167","OCONTO, NE US","41.1439","-99.7633","786.4","2013-12",,,"0","0","0","0","0","6","30","11","0","0","-13","0","0.0","0.00","68","2623","1197","0.00","0.0","23.6","38.5","8.7",,,,
"USC00256167","OCONTO, NE US","41.1439","-99.7633","786.4","2014-01",,"0","0",,,,,"7","29","8","0","0","-13",,,,"65","3809","1187",,,"26.7","41.6","11.9",,,,
"USC00256167","OCONTO, NE US","41.1439","-99.7633","786.4","2014-02",,"0","0","2","0","5","2","7","28","17","0","0","-22","3","1.5","0.07","61","5037","1228","0.10","2.5","21.2","32.7","9.6",,,,
"USC00256167","OCONTO, NE US","41.1439","-99.7633","786.4","2014-03",,"0","0","4","2","2","3","2","28","4","4","0","-7","2","3.5","0.29","73","5932","895","0.61","8.0","36.1","52.2","20.0",,,,
"USC00256167","OCONTO, NE US","41.1439","-99.7633","786.4","2014-04",,"0","0","8","4","0","0","0","13","0","13","0","20","0","0.8","0.81","82","6399","467","1.87","0.8","48.9","62.8","35.0",,,,
"USC00256167","OCONTO, NE US","41.1439","-99.7633","786.4","2014-05",,"56","56","3","2","0","0","0","8","0","23","0","23","0","0.0","0.81","87","6652","252","1.40","0.0","58.4","73.2","43.6",,,,
"USC00256167","OCONTO, NE US","41.1439","-99.7633","786.4","2014-06",,"190","133","9","8","0","0","0","0","0","29","0","44","0","0.0","2.29","89","6682","29","5.68","0.0","68.5","80.8","56.1",,,,
"USC00256167","OCONTO, NE US","41.1439","-99.7633","786.4","2014-07",,"387","197","4","2","0","0","0","0","0","30","8","42","0","0.0","1.26","98","27","27","1.86","0.0","70.5","83.8","57.2",,,,
"USC00256167","OCONTO, NE US","41.1439","-99.7633","786.4","2014-08",,"616","229","10","7","0","0","0","0","0","31","4","49","0","0.0","0.92","93","27","0","4.30","0.0","72.4","85.6","59.2",,,,
"USC00256167","OCONTO, NE US","41.1439","-99.7633","786.4","2014-09",,"689","73","4","4","0","0","0","0","0","25","2","34","0","0.0","0.67","92","145","118","1.91","0.0","63.5","77.8","49.1",,,,
"USC00256167","OCONTO, NE US","41.1439","-99.7633","786.4","2014-10",,"690","0","4","2","0","0","0","8","0","14","0","18","0","0.0","0.66","83","497","352","1.08","0.0","53.1","68.8","37.3",,,,
"USC00256167","OCONTO, NE US","41.1439","-99.7633","786.4","2014-11",,"690","0","0","0","0","0","4","26","6","4","0","-8","0","0.0","0.00","73","1480","983","0.00","0.0","32.2","48.0","16.4",,,,
"USC00256167","OCONTO, NE US","41.1439","-99.7633","786.4","2014-12",,"690","0","1","1","5","1","4","27","10","0","0","-14","2","2.5","0.84","56","2640","1160","0.84","2.5","27.6","37.7","17.5",,,,
"USC00256167","OCONTO, NE US","41.1439","-99.7633","786.4","2015-01",,"0","0","1","0","2","1","4","30","10","1","0","-6","1","1.0","0.05","73","3794","1154","0.05","1.0","27.8","41.4","14.2",,,,
"USC00256167","OCONTO, NE US","41.1439","-99.7633","786.4","2015-02",,"0","0","2","2","7","2","6","26","10","0","0","-20","11","11.0","0.48","64","4865","1071","0.59","13.0","26.7","41.1","12.4",,,,
"USC00256167","OCONTO, NE US","41.1439","-99.7633","786.4","2015-03",,"0","0","0","0","0","0","1","24","2","12","1","-6","0","0.0","0.00","90","5548","682","0.00","0.0","43.0","62.5","23.5",,,,
"USC00256167","OCONTO, NE US","41.1439","-99.7633","786.4","2015-04",,,,"6","4","0","1",,,,,,,"0","1.0","0.93",,,,"2.12","1.0",,,,,,,
"USC00256167","OCONTO, NE US","41.1439","-99.7633","786.4","2015-05",,,"0","13","12","0","0","0","2","0","14","0","29","0","0.0","1.86","85",,"245","5.71","0.0","56.3","67.9","44.6",,,,
"USC00256167","OCONTO, NE US","41.1439","-99.7633","786.4","2015-06",,,"143","6","4","0","0","0","0","0","29","3","52","0","0.0","1.39","94",,"4","4.81","0.0","69.6","81.0","58.2",,,,
"USC00256167","OCONTO, NE US","41.1439","-99.7633","786.4","2015-07",,,"269","8","6","0","0","0","0","0","31","12","46","0","0.0","1.74","101","9","9","3.46","0.0","73.4","87.1","59.7",,,,
"USC00256167","OCONTO, NE US","41.1439","-99.7633","786.4","2015-08",,,"175","5","4","0","0","0","0","0","29","2","40","0","0.0","1.28","95","34","25","2.31","0.0","69.8","83.2","56.5",,,,
"USC00256167","OCONTO, NE US","41.1439","-99.7633","786.4","2015-09",,,"159","5","5","0","0","0","0","0","29","9","38","0","0.0","2.25","96","57","23","3.10","0.0","69.6","82.8","56.5",,,,
"USC00256167","OCONTO, NE US","41.1439","-99.7633","786.4","2015-10",,,"5","4","3","0","0","0","9","0","12","1","21","0","0.0","0.57","94","423","366","1.24","0.0","53.4","67.8","38.9",,,,
