"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00322304","DRAKE 9 NE, ND US","48.04861","-100.30944","471.5","2013-01","0","7","0",",7","3",",7","3",",7","31",",7",,,"16",",7","31",",7","26",",7","0",",7","0",",7","-23",",7,31,","7",",,7,18,+",,,"0.35",",,7,12,","38",",7,11,",,,"1760",",7","0.59",",,,7",,,"8.2",",7","18.7",",,,7","-2.3",",,,7"
"USC00322304","DRAKE 9 NE, ND US","48.04861","-100.30944","471.5","2013-02","0","7","0",",7","6",",7","5",",7","28",",7",,,"7",",7","28",",7","22",",7","0",",7","0",",7","-26",",7,20,","10",",,7,23,+",,,"0.31",",,7,14,","41",",7,26,",,,"1453",",7","1.17",",,,7",,,"13.1",",7","23.2",",,,7","3.0",",,,7"
"USC00322304","DRAKE 9 NE, ND US","48.04861","-100.30944","471.5","2013-03","0","7","0",",7","8",",7","4",",7","31",",7","8",",7","17",",7","31",",7","27",",7","0",",7","0",",7","-17",",7,20,+","22",",,7,29,+","7.0",",,7,18,","0.61",",,7,18,","37",",7,15,",,,"1667",",7","1.30",",,,7","22.0",",,,7","11.2",",7","22.3",",,,7","0.1",",,,7"
"USC00322304","DRAKE 9 NE, ND US","48.04861","-100.30944","471.5","2013-04","0","7","0",",7","4",",7","1",",7","30",",7",,,"3",",7","27",",7","10",",7","1",",7","0",",7","-3",",7,03,+","19",",,7,01,",,,"0.37",",,7,15,","71",",7,28,",,,"1143",",7","0.48",",,,7",,,"26.9",",7","36.9",",,,7","16.9",",,,7"
"USC00322304","DRAKE 9 NE, ND US","48.04861","-100.30944","471.5","2013-05","6","7","6",",7","7","2,7","7","2,7",,,,,"0",",7","10",",7","0",",7","10",",7","0",",7","21",",7,02,",,,,,"1.82","2,,7,20,","86",",7,14,",,,"409",",7","4.00","2,,,7",,,"52.0",",7","63.6",",,,7","40.4",",,,7"
"USC00322304","DRAKE 9 NE, ND US","48.04861","-100.30944","471.5","2013-06","81","7","76",",7","9","1,7","8","1,7",,,,,"0",",7","0",",7","0",",7","23",",7","0",",7","45",",7,06,+",,,,,"1.51","1,,7,21,","87",",7,26,",,,"89",",7","5.02","1,,,7",,,"64.5",",7","73.8",",,,7","55.2",",,,7"
"USC00322304","DRAKE 9 NE, ND US","48.04861","-100.30944","471.5","2013-07","224","7","142",",7","8",",7","4",",7",,,,,"0",",7","0",",7","0",",7","30",",7","1",",7","45",",7,28,",,,,,"0.49",",,7,06,","90",",7,12,","27","7","27",",7","1.47",",,,7",,,"68.7",",7","79.7",",,,7","57.7",",,,7"
"USC00322304","DRAKE 9 NE, ND US","48.04861","-100.30944","471.5","2013-08","377","7","153",",7","6",",7","4",",7",,,,,"0",",7","0",",7","0",",7","30",",7","6",",7","47",",7,10,",,,,,"0.65",",,7,07,","95",",7,21,+","52","7","25",",7","1.72",",,,7",,,"69.2",",7","81.6",",,,7","56.7",",,,7"
"USC00322304","DRAKE 9 NE, ND US","48.04861","-100.30944","471.5","2013-10",,,"0",",7","8",",7","5",",7",,,,,"0",",7","17",",7","1",",7","1",",7","0",",7","21",",7,30,+",,,,,"1.09",",,7,15,","75",",7,01,",,,"745",",7","2.82",",,,7",,,"41.0",",7","50.6",",,,7","31.4",",,,7"
"USC00322304","DRAKE 9 NE, ND US","48.04861","-100.30944","471.5","2013-11",,,"0",",7","3",",7","1",",7",,,,,"4",",7","29",",7","13",",7","0",",7","0",",7","-22",",7,23,",,,,,"0.32",",,7,21,","54",",7,03,",,,"1240",",7","0.37",",,,7",,,"23.6",",7","34.0",",,,7","13.3",",,,7"
