"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","CDSD","CLDD","DP01","DP10","DSND","DSNW","DT00","DT32","DX32","DX70","DX90","EMNT","EMSD","EMSN","EMXP","EMXT","HDSD","HTDD","PRCP","SNOW","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5"
"US1MNOT0015","DENT 5.1 NW, MN US","46.6028","-95.79836667","431.6","2013-11",,,,"4","3",,,,,,,,,,,"0.19",,,,"0.62",,,,,,,,
"US1MNOT0015","DENT 5.1 NW, MN US","46.6028","-95.79836667","431.6","2013-12",,,,"18","2",,"3",,,,,,,,"5.5","0.54",,,,"1.35","12.3",,,,,,,
"US1MNOT0015","DENT 5.1 NW, MN US","46.6028","-95.79836667","431.6","2014-03",,,,"4","1",,"1",,,,,,,,"1.0","0.28",,,,"0.36","2.2",,,,,,,
"US1MNOT0015","DENT 5.1 NW, MN US","46.6028","-95.79836667","431.6","2014-04",,,,"12","8",,,,,,,,,,,"0.90",,,,"4.76",,,,,,,,
"US1MNOT0015","DENT 5.1 NW, MN US","46.6028","-95.79836667","431.6","2014-09",,,,,,,,,,,,,,,,,,,,"3.79",,,,,,,,
"US1MNOT0015","DENT 5.1 NW, MN US","46.6028","-95.79836667","431.6","2014-10",,,,"9","2","0","0",,,,,,,"0","0.0","0.14",,,,"0.46","0.0",,,,,,,
"US1MNOT0015","DENT 5.1 NW, MN US","46.6028","-95.79836667","431.6","2014-11",,,,"16","1",,"3",,,,,,,,"1.6","0.47",,,,"1.40","6.3",,,,,,,
"US1MNOT0015","DENT 5.1 NW, MN US","46.6028","-95.79836667","431.6","2015-02",,,,"7","1",,,,,,,,,,,"0.17",,,,"0.81",,,,,,,,
"US1MNOT0015","DENT 5.1 NW, MN US","46.6028","-95.79836667","431.6","2015-04",,,,,,,,,,,,,,,,,,,,"1.46",,,,,,,,
"US1MNOT0015","DENT 5.1 NW, MN US","46.6028","-95.79836667","431.6","2016-01",,,,,,,,,,,,,,,,,,,,"0.19",,,,,,,,
"US1MNOT0015","DENT 5.1 NW, MN US","46.6028","-95.79836667","431.6","2016-02",,,,,,,,,,,,,,,,,,,,"2.34",,,,,,,,
"US1MNOT0015","DENT 5.1 NW, MN US","46.6028","-95.79836667","431.6","2017-02",,,,,,,,,,,,,,,,,,,,"0.94",,,,,,,,
"US1MNOT0015","DENT 5.1 NW, MN US","46.6028","-95.79836667","431.6","2017-03",,,,"4","1",,"0",,,,,,,,"0.8","0.14",,,,"0.22","0.8",,,,,,,
"US1MNOT0015","DENT 5.1 NW, MN US","46.6028","-95.79836667","431.6","2017-10",,,,"8","3","0","0",,,,,,,"0","0.2","0.57",,,,"1.50","0.3",,,,,,,
