"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","CDSD","CLDD","DP01","DP10","DSND","DSNW","DT00","DT32","DX32","DX70","DX90","EMNT","EMSD","EMSN","EMXP","EMXT","EVAP","HDSD","HN01","HN02","HN03","HN04","HTDD","HX01","HX02","HX03","HX04","LN01","LN02","LN03","LN04","LX01","LX02","LX03","LX04","MN01","MN02","MN03","MN04","MNPN","MX01","MX02","MX03","MX04","MXPN","PRCP","SNOW","TAVG","TMAX","TMIN","WDF2","WDF5","WDMV","WSF2","WSF5"
"USC00210981","BRICELYN, MN US","43.544","-93.8423","356.6","2013-01",,,,"3","1","11","0",,,,,,,"3","0.2","0.20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.32","0.2",,,,,,,,
"USC00210981","BRICELYN, MN US","43.544","-93.8423","356.6","2013-02",,,,"6","3","9","4",,,,,,,"8","8.5","0.28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.76","11.9",,,,,,,,
"USC00210981","BRICELYN, MN US","43.544","-93.8423","356.6","2013-03",,,,"9","4","26","4",,,,,,,"8","7.8","0.56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.89","18.0",,,,,,,,
"USC00210981","BRICELYN, MN US","43.544","-93.8423","356.6","2013-04",,,,"13","11","4","4",,,,,,,"3","4.5","1.63",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6.24","13.5",,,,,,,,
"USC00210981","BRICELYN, MN US","43.544","-93.8423","356.6","2013-05",,,,"16","12","3","1",,,,,,,"6","10.0","1.70",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6.73","10.0",,,,,,,,
"USC00210981","BRICELYN, MN US","43.544","-93.8423","356.6","2013-07",,,,"6","5",,,,,,,,,,,"1.26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2.75",,,,,,,,,
"USC00210981","BRICELYN, MN US","43.544","-93.8423","356.6","2013-08",,,,"9","5",,,,,,,,,,,"2.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3.10",,,,,,,,,
"USC00210981","BRICELYN, MN US","43.544","-93.8423","356.6","2013-09",,,,"5","3",,,,,,,,,,,"0.56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.27",,,,,,,,,
"USC00210981","BRICELYN, MN US","43.544","-93.8423","356.6","2013-10",,,,"11","6","0","0",,,,,,,"0","0.0","1.19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3.30","0.0",,,,,,,,
"USC00210981","BRICELYN, MN US","43.544","-93.8423","356.6","2013-11",,,,"5","2","3","3",,,,,,,"1","1.7","0.59",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.76","3.8",,,,,,,,
"USC00210981","BRICELYN, MN US","43.544","-93.8423","356.6","2013-12",,,,"9","1","23","5",,,,,,,"3","3.4","0.13",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.31","9.6",,,,,,,,
"USC00210981","BRICELYN, MN US","43.544","-93.8423","356.6","2014-01",,,,"7","1","31","8",,,,,,,"7","4.4","0.14",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.32","19.2",,,,,,,,
"USC00210981","BRICELYN, MN US","43.544","-93.8423","356.6","2014-02",,,,"8","1","28","8",,,,,,,"10","7.2","0.95",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.28","18.0",,,,,,,,
"USC00210981","BRICELYN, MN US","43.544","-93.8423","356.6","2014-03",,,,"9","4","21","5",,,,,,,"11","5.2","0.31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.84","12.6",,,,,,,,
